Old Component,New Component,Status,Notes,Migration Path
FlightView,ModernLayout,Partial,"Main UI layout replaced with modern design","Use ModernLayout as main container, integrate existing FlightView logic"
PlanView,ModernLayout,Partial,"Plan view integrated into left sidebar section","Navigate via sidebar, load plan content dynamically"
SetupView,ModernLayout,Partial,"Setup hidden in advanced mode, accessible via Settings nav","Enable advanced mode to access setup"
ToolBar,"ModernLayout + ModernStatusBar",Replaced,"Top toolbar replaced with header + bottom status bar","Status info moved to persistent bottom bar"
MultiVehicleList,ModernRightPanel,Replaced,"Vehicle list moved to right slide-over panel","Select vehicle from right panel vehicle list"
QGCLabel,Not Replaced,Compatible,"Use existing QGCLabel where needed","Direct use, no migration needed"
QGCButton,Not Replaced,Compatible,"Use existing QGCButton where needed","Direct use, no migration needed"
WaypointEditor,ModernWaypointEditor,New,"Drag/drop, snapping, inline editing, validation","Replace ParameterEditor with new component"
LayerManager,ModernLayerManager,New,"Opacity sliders, source selection, toggles","Integrate existing map layer management"
MissionValidator,ModernMissionValidator,New,"Auto-validation, fix suggestions, blocking checks","Add validation logic before arming"
PreFlightChecklist,ModernPreFlightChecklist,New,"Redesigned with modern UI tokens","Replace QML pre-flight components"
MultiVehicleManager,ModernMultiVehicleManager,New,"Split-screen map option, vehicle selector","Handle multi-vehicle scenarios"
HUDPanel,ModernHUDPanel,New,"Floating mini-telemetry, cachable","Optional overlay on map"
FAB,ModernFAB,New,"Create, Arm, Start mission actions","Replace toolbar action buttons"
StatusBar,ModernStatusBar,New,"GPS, battery, mode, latency indicators","Replace top status toolbar"
RightPanel,ModernRightPanel,New,"Properties, parameters, vehicle state","Replace setup panel right sidebar"
Timeline,ModernTimeline,Planned,"Interactive scrubber for simulation/replay","For replay functionality"
VehicleRotationCal,VehicleRotationCal,Compatible,"Keep existing component","No replacement needed"
FactSystem,FactSystem,Compatible,"Fact System unchanged for parameter backend","Continue using for vehicle state"
MAVLinkProtocol,MAVLinkProtocol,Compatible,"MAVLink unchanged, messages preserved","Continue using for comms"
